Map,Map Width,Map Height,Map Obstacle Ratio,Desired Safe prob,Number of agents,Number of goals,Agent Density,Instance,Offline Runtime,Online Runtime,Runtime,SGAT,Num Of Replan,Online SST,Offline SST,Number of Expands,Min Safe Prob,Removed Agent Delay,Removed Agent Delay Zscore,Removed Agent Delay Relative,Removed Agent X,Removed Agent Y,Removed Agent Min Distance To Agents,Removed Agent Mean Distance To Agents,Removed Agent Min Distance To Goals,Removed Agent Mean Distance To Goals,Removed Agent Is Articulation Point,Removed Agent Num Components After Removal,Removed Agent Largest Component Ratio,Removed Agent Has Goal Component Without Other Agents,Removed Agent Betweenness Centrality,Removed Agent Num Close Agents r=2,Removed Agent Num Close Goals r=2,Removed Agent Local Free Space r=2,Removed Agent Crowdedness Score r=2,Removed Agent Goal Density r=2,Removed Agent Num Close Agents r=4,Removed Agent Num Close Goals r=4,Removed Agent Local Free Space r=4,Removed Agent Crowdedness Score r=4,Removed Agent Goal Density r=4
maze-32-32-2,32,32,0.349609375,0.01,25,100,0.03753753753753754,1,0.159,8.709,8.868,5946.691654205322,24,5491,1306,5.84,0.0,0.588,-0.8730932061190723,0.8470669586262533,0.22580645161290322,0.8387096774193549,0.018018018018018018,0.059809809809809815,0.0075075075075075074,0.05321321321321321,0,1,1.0,0,0.007117289134700596,0.0,0.0,0.0075075075075075074,0.0,0.0,0.0,0.0,0.021021021021021023,0.0,0.0
maze-32-32-2,32,32,0.349609375,0.01,25,100,0.03753753753753754,1,0.171,0.923,1.094,4725.237264156342,4,4641,1327,2.4,0.0613,0.934,1.9725195417821992,1.3455111213553073,0.25806451612903225,0.0967741935483871,0.0045045045045045045,0.09822322322322323,0.0045045045045045045,0.10216216216216217,0,1,1.0,0,0.20208206164473502,0.0,0.0,0.013513513513513514,0.0,0.0,0.04,0.01,0.028528528528528527,0.05263157894736842,0.05263157894736842
maze-32-32-2,32,32,0.349609375,0.01,25,100,0.03753753753753754,2,0.201,0.079,0.28,3193.1949462890625,1,3172,1053,1.5,0.1573,0.806,0.984999559992061,1.1748586088274737,0.5806451612903226,0.3548387096774194,0.0075075075075075074,0.06625375375375375,0.0015015015015015015,0.07923423423423424,0,1,1.0,0,0.003561610250730967,0.0,0.01,0.010510510510510511,0.0,0.14285714285714285,0.0,0.01,0.018018018018018018,0.0,0.08333333333333333
maze-32-32-2,32,32,0.349609375,0.01,25,100,0.03753753753753754,2,0.236,0.375,0.611,3120.6474294662476,2,3076,1061,1.667,0.1573,0.799,0.9275220931702501,1.164655122150312,0.03225806451612903,0.0967741935483871,0.010510510510510511,0.10397897897897898,0.003003003003003003,0.12442942942942943,0,1,1.0,0,0.004647153509763136,0.0,0.01,0.010510510510510511,0.0,0.14285714285714285,0.0,0.02,0.02252252252252252,0.0,0.13333333333333333
